months,years,complex_subgroup,insecticide_class,percentage_mortality,resistance_class,lulc,rainfall,temperature,humidity,population_density
2,2005,Funestus Subgroup,organophosphate,100,,10,14.15757325,29.72873075,4852,784
6,2016,Gambiae Complex,carbamate,100,,10,74.55632625,29.945486,5293,750
6,2016,Gambiae Complex,organophosphate,100,,10,74.55632625,29.945486,5293,750
6,2016,Gambiae Complex,carbamate,100,,10,22.76234675,29.5310345,5853,750
6,2012,Gambiae Complex,carbamate,100,,12,31.92515625,29.33033,5598,647
6,2012,Gambiae Complex,carbamate,100,,12,31.92515625,29.33033,5598,647
6,2012,Gambiae Complex,pyrethroid,100,,17,211.9020025,29.92486125,6850,647
6,2014,Gambiae Complex,organophosphate,100,,12,14.85339475,29.48826425,5971,597
6,2014,Gambiae Complex,organophosphate,100,,10,20.25462925,29.49634088,5784,597
6,2014,Gambiae Complex,organophosphate,100,,10,24.49845625,29.46680438,5832,597
6,2014,Gambiae Complex,carbamate,100,,14,16.97530875,29.48611363,5834,597
8,2005,Gambiae Complex,carbamate,100,,13,21.74805775,30.30569863,5543,585
5,2015,Gambiae Complex,organophosphate,100,,0,56.00358525,29.97641838,6477,558
7,2014,Gambiae Complex,organophosphate,100,,9,115.8340775,28.947187,7135,549
10,2009,Gambiae Complex,organophosphate,100,,10,13.7208785,30.22328275,5674,529
10,2009,Gambiae Complex,carbamate,100,,10,13.7208785,30.22328275,5674,529
10,2009,Gambiae Complex,organophosphate,100,,13,2.5201613,30.3811185,3863,529
10,2009,Gambiae Complex,organochlorine,100,,17,28.6551675,29.59521913,5801,529
6,2012,Gambiae Complex,pyrethroid,100,,14,37.037039,29.45785863,6078,516
1,2010,Gambiae Complex,organophosphate,100,,13,0,29.742342,3795,512
1,2010,Gambiae Complex,carbamate,100,,13,0,29.742342,3795,512
10,2010,Gambiae Complex,organophosphate,100,,13,1.586768275,30.407025,4755,512
10,2010,Gambiae Complex,carbamate,100,,13,1.586768275,30.407025,4755,512
6,2013,Gambiae Complex,pyrethroid,100,,9,111.111113,29.92645038,6806,499
6,2013,Gambiae Complex,organophosphate,100,,10,56.712963,30.17372088,5732,499
6,2013,Gambiae Complex,organophosphate,100,,0,48.99691225,29.91204413,6062,499
6,2013,Gambiae Complex,organophosphate,100,,0,57.77392025,29.90431188,6113,499
6,2013,Gambiae Complex,organophosphate,100,,10,55.3626525,29.91379113,6112,499
6,2013,Gambiae Complex,organophosphate,100,,9,39.44830225,29.89697538,6056,499
6,2013,Gambiae Complex,pyrethroid,100,,9,119.1165125,29.94185163,6676,499
6,2013,Gambiae Complex,pyrethroid,100,,9,110.4359545,29.91794663,6842,499
6,2010,Gambiae Complex,carbamate,100,,9,36.5547835,29.8735735,6274,469
8,2005,Gambiae Complex,carbamate,100,,13,21.74805775,30.30569863,5542,467
6,2009,Gambiae Complex,organochlorine,100,,10,2.6041666,29.084651,5971,440
6,2009,Gambiae Complex,pyrethroid,100,,10,4.533179075,28.640216,6533,440
6,2009,Gambiae Complex,pyrethroid,100,,10,2.6041666,29.084651,5971,440
6,2009,Gambiae Complex,pyrethroid,100,,10,2.6041666,29.084651,5971,440
9,2009,Gambiae Complex,carbamate,100,,14,36.844136,29.87590563,6934,438
9,2009,Gambiae Complex,carbamate,100,,10,34.43287,30.05097388,5775,438
9,2009,Gambiae Complex,organophosphate,100,,10,34.43287,30.05097388,5775,438
9,2009,Gambiae Complex,carbamate,100,,12,40.8950595,30.01358275,6029,438
9,2009,Gambiae Complex,organophosphate,100,,12,40.8950595,30.01358275,6029,438
9,2009,Gambiae Complex,carbamate,100,,9,59.60648225,29.82872338,6321,438
9,2009,Gambiae Complex,organophosphate,100,,9,59.60648225,29.82872338,6321,438
6,2014,Gambiae Complex,organophosphate,100,,12,40.31635918,29.760263,4617,438
6,2014,Gambiae Complex,organophosphate,100,,12,40.31635918,29.760263,4617,438
12,2011,Gambiae Complex,carbamate,100,,0,2.80017935,30.0826075,6435,420
6,2013,Gambiae Complex,organophosphate,100,,9,42.14892,29.86876363,6045,420
6,2013,Gambiae Complex,organophosphate,100,,14,44.07793225,29.8886165,6078,420
6,2013,Gambiae Complex,organophosphate,100,,9,48.03240775,29.900839,6010,420
6,2013,Gambiae Complex,organophosphate,100,,10,56.8094135,30.17873963,5722,420
7,2013,Gambiae Complex,organochlorine,100,,12,10.8273595,29.4706955,5472,420
7,2013,Gambiae Complex,organochlorine,100,,12,10.8273595,29.4706955,5472,420
7,2015,Funestus Subgroup,carbamate,100,,9,3.640233,29.47892563,5397,414
1,2001,Gambiae Complex,pyrethroid,100,,10,0,29.9709655,3317,404
1,2001,Gambiae Complex,organochlorine,100,,13,0,29.72564825,2972,404
1,2001,Gambiae Complex,pyrethroid,100,,13,0,29.72564825,2972,404
1,2001,Gambiae Complex,pyrethroid,100,,13,0,29.72564825,2972,404
1,2001,Funestus Subgroup,organochlorine,100,,10,0,29.732509,2969,404
1,2001,Funestus Subgroup,pyrethroid,100,,10,0,29.732509,2969,404
1,2001,Funestus Subgroup,pyrethroid,100,,10,0,29.732509,2969,404
1,2001,Gambiae Complex,pyrethroid,100,,10,0,29.72053775,2974,404
1,2001,Gambiae Complex,pyrethroid,100,,10,0,29.72053775,2974,404
1,2001,Funestus Subgroup,organochlorine,100,,11,0,29.74469288,2971,404
1,2001,Funestus Subgroup,pyrethroid,100,,11,0,29.74469288,2971,404
1,2001,Funestus Subgroup,pyrethroid,100,,11,0,29.74469288,2971,404
1,2001,Gambiae Complex,organochlorine,100,,10,0,29.72564825,2974,404
1,2001,Gambiae Complex,pyrethroid,100,,10,0,29.72564825,2974,404
1,2001,Gambiae Complex,pyrethroid,100,,10,0,29.72564825,2974,404
1,2001,Gambiae Complex,organochlorine,100,,11,0,29.90339963,3542,404
1,2001,Gambiae Complex,pyrethroid,100,,10,0,29.9709655,3317,404
1,2001,Gambiae Complex,pyrethroid,100,,9,112.753888,29.3572685,6982,404
1,2001,Gambiae Complex,organochlorine,100,,9,112.753888,29.3572685,6982,404
1,2001,Gambiae Complex,pyrethroid,100,,11,0,29.90339963,3542,404
